FISHID	FAMILY	SIRE	DAM	SEX	LICE	WEIGHT	LENGHT
B322_0194	AR018	L2M20231	L2F21569	1	25	2.149219113	2.376576957
B322_0201	CK063	L2M20382	L2F24282	1	43	2.209515015	2.399673721
B322_0203	FZ156	L2M20152	L2F20884	0	28	2.170261715	2.357934847
B322_0208	AV022	L2M20232	L2F22218	1	8	2.041392685	2.324282455
B322_0213	GZ182	L1M10002	L2F23521	1	18	1.968482949	2.281033367
B322_0214	GX180	L2M20271	L2F21995	1	17	1.886490725	2.281033367
B322_0216	DJ088	L2M20152	L2F21256	1	14	2.257678575	2.413299764
B322_0218	ET124	L2M20220	L2F22410	0	24	2.100370545	2.344392274
B322_0219	DM091	L2M20222	L2F21637	0	27	2.155336037	2.357934847
B322_0227	DM091	L2M20222	L2F21637	1	22	1.84509804	2.255272505
B322_0233	GZ182	L1M10002	L2F23521	1	42	2.021189299	2.33243846
B322_0244	DJ088	L2M20152	L2F21256	1	36	2.250420002	2.404833717
B322_0246	EK115	L2M20182	L2F21107	0	16	2	2.315970345
B322_0248	FA131	L2M20241	L2F22141	0	47	2.086359831	2.336459734
B322_0251	AA001	L2M20222	L2F22901	0	54	2.071882007	2.340444115
B322_0259	FA131	L2M20241	L2F22141	1	12	2.152288344	2.367355921
B322_0278	FA131	L2M20241	L2F22141	1	13	1.954242509	2.294466226
B322_0300	GX180	L2M20271	L2F21995	1	31	1.977723605	2.311753861
B322_0306	CF058	L2M20231	L2F22403	1	42	2.113943352	2.369215857
B322_0309	DH086	L2M20039	L2F20534	0	37	2	2.320146286
B322_0313	BH034	L2M20195	L2F21039	1	45	2.029383778	2.330413773
B322_0322	BJ036	L2M20249	L2F21322	1	41	2.167317335	2.365487985
B322_0330	GX180	L2M20271	L2F21995	1	20	2.086359831	2.344392274
B322_0337	GZ182	L1M10002	L2F23521	1	71	2.089905111	2.338456494
B322_0338	DH086	L2M20039	L2F20534	1	21	2.123851641	2.338456494
B322_0342	ET124	L2M20220	L2F22410	1	27	2	2.326335861
B322_0343	FA131	L2M20241	L2F22141	1	35	2.004321374	2.318063335
B322_0351	AV022	L2M20232	L2F22218	0	19	2.037426498	2.326335861
B322_0375	FW153	L2M20249	L2F21328	0	21	1.986771734	2.309630167
B322_0377	DG085	L2M20325	L2F22572	1	19	1.991226076	2.320146286
B322_0380	BH034	L2M20195	L2F21039	1	26	2.021189299	2.324282455
B322_0383	DH086	L2M20039	L2F20534	1	17	1.880813592	2.252853031
B322_0580	AA001	L2M20222	L2F22901	0	24	2.103803721	2.350248018
B322_0713	FB132	L2M20111	L2F20671	0	63	2.190331698	2.399673721
B322_0719	GT176	L2M20325	L2F22608	1	26	2.164352856	2.387389826
B322_0722	FO145	L2M20255	L2F22374	1	3	1.919078092	2.28780173
B322_0381	FA131	L2M20241	L2F22141	0	45	1.897627091	2.271841607
B322_0428	FW153	L2M20249	L2F21328	1	36	2.075546961	2.330413773
B322_0467	DJ088	L2M20152	L2F21256	0	16	2.075546961	2.340444115
B322_0502	FA131	L2M20241	L2F22141	0	32	2.071882007	2.340444115
B322_0526	DJ088	L2M20152	L2F21256	0	27	2.178976947	2.367355921
B322_0542	AR018	L2M20231	L2F21569	0	14	1.944482672	2.298853076
B322_0557	AA001	L2M20222	L2F22901	0	29	2.06069784	2.336459734
B322_0587	EK115	L2M20182	L2F21107	1	11	2.056904851	2.340444115
B322_0608	FZ156	L2M20152	L2F20884	1	32	2.089905111	2.346352974
B322_0627	FZ156	L2M20152	L2F20884	1	57	2.149219113	2.354108439
B322_0659	BH034	L2M20195	L2F21039	1	21	2.021189299	2.328379603
B322_0704	CF058	L2M20231	L2F22403	1	28	1.986771734	2.324282455
B322_0382	DU099	L2M20271	L2F21932	1	55	2.029383778	2.326335861
B322_0431	EK115	L2M20182	L2F21107	0	17	2.176091259	2.383815366
B322_0471	AR018	L2M20231	L2F21569	0	38	2.117271296	2.361727836
B322_0504	GX180	L2M20271	L2F21995	0	24	2.012837225	2.315970345
B322_0527	AV022	L2M20232	L2F22218	0	34	2.117271296	2.352182518
B322_0543	AR018	L2M20231	L2F21569	0	14	2.012837225	2.334453751
